Size,Fitness,Fitness_Error,Cost,Cost_Error,Service_Rate,Service_Rate_Error,Avg_Time_s
N10,0.00,±0.00,0.00,±0.00,0.0000,±0.0000,0.5557902336120606
N50,0.00,±0.00,0.00,±0.00,0.0000,±0.0000,703.7424712181091
