Size,Fitness,Fitness_Error,Cost,Cost_Error,Service_Rate,Service_Rate_Error,Avg_Time_s
N10,8488.80,±3494.41,228.80,±63.14,0.3933,±0.1652,0.62
N20,21024.05,±5699.28,274.05,±86.26,0.2500,±0.0683,0.85
N50,164631.65,±23222.42,1314.99,±75.29,0.3187,±0.0453,2.30
N100,554528.18,±77016.43,2394.84,±274.13,0.2693,±0.0375,3.83
N150,1214965.71,±83809.20,3415.71,±280.49,0.2627,±0.0182,5.44
