Distribution_Size,Fitness,Fitness_Error,Cost,Cost_Error,Service_Rate,Service_Rate_Error,Avg_Time_s
C_N10,0.00,±0.00,0.00,±0.00,0.0000,±0.0000,0.6194655418395996
C_N50,0.00,±0.00,0.00,±0.00,0.0000,±0.0000,703.7424712181091
RC_N10,0.00,±0.00,0.00,±0.00,0.0000,±0.0000,0.5560012817382812
R_N10,0.00,±0.00,0.00,±0.00,0.0000,±0.0000,0.49190387725830076
